b_3	a_3	x_3	y_3		Forward info on b and a per 3 sink:			period 3 sink + tangent together:		-0.27695,1.2059761555840738
-0.2999 ,	1.173198507953394 ,	-0.02657353254957902 ,	-0.7497528011518759 ,		b	a	x	y		
-0.3054499999999994 ,	1.1655718822006276 ,	-0.027640266172868144 ,	-0.7482895256927439 ,		-0.2945	1.180731356	-0.02556445924	-0.7511202093		
-0.3054999999999994 ,	1.1655037064589668 ,	-0.02765001447179031 ,	-0.7482760757335557 ,		-0.29445	1.180801622	-0.02555524729	-0.7511326116		
-0.3055499999999994 ,	1.1654355402334924 ,	-0.0276597652507927 ,	-0.7482626209960882 ,		-0.2944	1.180871896	-0.02554603785	-0.7511450106		
-0.30559999999999937 ,	1.1653673835242653 ,	-0.02766951851026496 ,	-0.7482491614802441 ,		-0.29435	1.180942181	-0.02553683058	-0.7511574019		
-0.30564999999999937 ,	1.1652992363315937 ,	-0.027679274250558484 ,	-0.7482356971858329 ,		-0.2943	1.181012476	-0.02552762582	-0.75116979		
-0.30569999999999936 ,	1.1652310986554721 ,	-0.027689032472073518 ,	-0.7482222281127828 ,		-0.29425	1.181082779	-0.02551842345	-0.7511821733		
-0.30574999999999936 ,	1.165162970496112 ,	-0.027698793175177427 ,	-0.7482087542609425 ,		-0.2942	1.181153093	-0.02550922347	-0.7511945518		
-0.30579999999999935 ,	1.1650948518536408 ,	-0.02770855636024821 ,	-0.7481952756301882 ,		-0.29415	1.181223415	-0.02550002589	-0.7512069257		
-0.30584999999999934 ,	1.1650267427282524 ,	-0.027718322027655187 ,	-0.7481817922203744 ,		-0.2941	1.181293747	-0.0254908307	-0.7512192947		
-0.30589999999999934 ,	1.1649586431200507 ,	-0.02772809017778066 ,	-0.7481683040313889 ,		-0.29405	1.181364089	-0.0254816379	-0.7512316591		
-0.30594999999999933 ,	1.1648905530291567 ,	-0.0277378608110061 ,	-0.7481548110631141 ,		-0.294	1.18143444	-0.0254724475	-0.7512440186		
-0.30599999999999933 ,	1.1648224724557803 ,	-0.027747633927696407 ,	-0.7481413133153972 ,		-0.29395	1.181504801	-0.02546325949	-0.7512563735		
-0.3060499999999993 ,	1.1647544014000273 ,	-0.02775740952823505 ,	-0.7481278107881282 ,		-0.2939	1.181575171	-0.02545407387	-0.7512687236		
-0.3060999999999993 ,	1.1646863398620206 ,	-0.02776718761300146 ,	-0.7481143034811863 ,		-0.29385	1.18164555	-0.02544489064	-0.751281069		
-0.3061499999999993 ,	1.1646182878419304 ,	-0.027776968182367353 ,	-0.7481007913944361 ,		-0.2938	1.181715939	-0.0254357098	-0.7512934096		
-0.3061999999999993 ,	1.1645502453399352 ,	-0.027786751236703856 ,	-0.7480872745277389 ,		-0.29375	1.181786338	-0.02542653135	-0.7513057454		
-0.3062499999999993 ,	1.1644822123561185 ,	-0.02779653677639636 ,	-0.7480737528809933 ,		-0.2937	1.181856746	-0.02541735529	-0.7513180766		
-0.3062999999999993 ,	1.164414188890698 ,	-0.02780632480181015 ,	-0.748060226454045 ,		-0.29365	1.181927163	-0.02540818162	-0.751330403		
-0.3063499999999993 ,	1.164346174943748 ,	-0.027816115313331936 ,	-0.7480466952467945 ,		-0.2936	1.18199759	-0.02539901034	-0.7513427246		
-0.3063999999999993 ,	1.1642781705154652 ,	-0.027825908311328546 ,	-0.7480331592590971 ,		-0.29355	1.182068027	-0.02538984145	-0.7513550415		
-0.3064499999999993 ,	1.1642101756059515 ,	-0.02783570379618361 ,	-0.748019618490844 ,		-0.2935	1.182138473	-0.02538067494	-0.7513673537		
-0.3064999999999993 ,	1.1641421902153868 ,	-0.027845501768267337 ,	-0.7480060729418981 ,		-0.29345	1.182208928	-0.02537151083	-0.7513796611		
-0.30654999999999927 ,	1.1640742143439138 ,	-0.027855302227953904 ,	-0.7479925226121344 ,		-0.2934	1.182279393	-0.0253623491	-0.7513919638		
-0.30659999999999926 ,	1.164006247991651 ,	-0.027865105175625137 ,	-0.7479789675014388 ,		-0.29335	1.182349867	-0.02535318976	-0.7514042618		
-0.30664999999999926 ,	1.1639382911587908 ,	-0.027874910611647888 ,	-0.7479654076096707 ,		-0.2933	1.182420351	-0.02534403281	-0.751416555		
-0.30669999999999925 ,	1.163870343845463 ,	-0.027884718536400947 ,	-0.7479518429367102 ,		-0.29325	1.182490845	-0.02533487824	-0.7514288434		
-0.30674999999999925 ,	1.1638024060517587 ,	-0.027894528950268144 ,	-0.7479382734824531 ,		-0.2932	1.182561347	-0.02532572606	-0.7514411272		
-0.30679999999999924 ,	1.1637344777778682 ,	-0.027904341853616645 ,	-0.747924699246761 ,		-0.29315	1.18263186	-0.02531657626	-0.7514534061		
-0.30684999999999923 ,	1.1636665590239677 ,	-0.027914157246816923 ,	-0.7479111202294967 ,		-0.2931	1.182702382	-0.02530742885	-0.7514656804		
